,Unnamed: 0.1,Unnamed: 0,Match Datetime,Match Type,sc_ra,sc_ca,sc_la,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
32,32,27.0,2024-08-09 20:00:00,Friendly match,,,,Bahrain,,8.0,13.0,14.25,14.0,5.75,12.25,10.75,9.0,6.25,(no tactic),0,7.25,0,0.3,0,4,4,2,H,Moçambique,12.25,17.0,18.75,15.0,8.0,10.5,12.0,11.0,8.0,(no tactic),0.0,12.0,20.0,2.0,2,4.0,4.0,2.0,A,F,Moç,2024-08-09,4-4-2,4.0-4.0-2.0,N,88,
33,33,28.0,2024-08-02 12:00:00,Round 10 in Asia and Oceania Cup,10.984568953621881,12.205076615135424,12.449178147438133,Bahrain,12.865237558358153,11.0,20.75,23.75,21.5,11.25,12.5,12.75,10.25,7.75,Counter-attacks,19,10.75,-100,1.3,2,4,4,2,A,Pilipinas,16.5,15.75,17.25,18.75,16.75,11.0,11.25,12.25,8.75,(no tactic),0.0,11.0,20.0,1.8,3,3.0,5.0,2.0,H,CC,Pil,2024-08-02,4-4-2,3.0-5.0-2.0,CA,88,12.865237558358153
34,34,29.0,2024-07-26 12:00:00,Round 9 in Asia and Oceania Cup,10.784121337829086,12.581474894133933,12.581474894133933,Bahrain,14.79329848011253,14.25,17.5,18.0,18.25,10.5,12.25,12.25,10.5,8.0,(no tactic),0,11.25,0,1.5,5,3,5,2,H,Mongol Uls,15.75,15.5,14.25,13.5,14.25,17.5,13.0,11.25,9.5,(no tactic),0.0,12.75,50.0,2.3,0,3.0,5.0,2.0,A,CC,Mon,2024-07-26,3-5-2,3.0-5.0-2.0,N,88,14.79329848011253
35,35,30.0,2024-07-19 12:00:00,Round 8 in Asia and Oceania Cup,10.302226511762415,10.03806685761466,10.830545820057923,Bahrain,11.233631969074477,9.0,23.25,24.0,24.75,9.75,9.5,10.25,10.5,7.25,Counter-attacks,17,11.0,-100,1.8,3,4,4,2,H,Brunei,12.25,13.25,10.0,12.0,15.75,18.75,18.0,10.25,8.75,(no tactic),0.0,12.25,100.0,2.1,1,2.0,5.0,3.0,A,CC,Bru,2024-07-19,4-4-2,2.0-5.0-3.0,CA,88,11.233631969074477
36,36,31.0,2024-07-12 12:00:00,Round 7 in Asia and Oceania Cup,12.000907010298489,11.218239161800762,15.392467687121975,Bahrain,11.92641411272584,9.75,21.0,20.5,21.0,11.5,10.75,14.75,11.0,7.25,Counter-attacks,16,13.75,-100,1.3,1,4,4,2,A,Hayastan,13.75,13.5,13.0,13.25,16.5,19.25,14.0,11.25,9.75,(no tactic),0.0,17.5,100.0,2.3,3,3.0,4.0,3.0,H,CC,Hay,2024-07-12,4-4-2,3.0-4.0-3.0,CA,88,11.92641411272584
37,37,32.0,2024-07-05 12:00:00,Round 6 in Asia and Oceania Cup,13.423563717138402,15.449762014064952,13.170288930022581,Bahrain,16.7337889281234,14.0,16.5,16.25,15.25,13.25,15.25,13.0,10.25,7.0,(no tactic),0,12.5,0,1.1,0,3,5,2,H,Việt Nam,7.75,24.25,27.5,24.25,10.5,8.75,10.0,12.25,8.5,Counter-attacks,21.0,13.75,-100.0,0.8,2,5.0,3.0,2.0,A,CC,Việ,2024-07-05,3-5-2,5.0-3.0-2.0,N,88,16.7337889281234
38,38,33.0,2024-06-28 12:00:00,Round 5 in Asia and Oceania Cup,13.680850735984672,14.694247086798352,14.187548911391513,Bahrain,16.35247443976307,17.0,17.0,16.0,16.0,13.5,14.5,14.0,10.5,7.25,(no tactic),0,16.0,0,1.3,2,3,5,2,H,Pilipinas,7.5,23.5,26.0,21.25,17.5,7.75,11.75,12.75,9.0,Counter-attacks,21.0,16.75,-100.0,1.0,2,5.0,3.0,2.0,A,CC,Pil,2024-06-28,3-5-2,5.0-3.0-2.0,N,88,16.35247443976307
39,39,34.0,2024-06-24 12:00:00,Round 4 in Asia and Oceania Cup,12.163451589981252,11.403235865607423,11.14983062414948,Bahrain,14.02610995692862,10.25,21.5,21.5,22.0,12.0,11.25,11.0,10.5,7.0,Counter-attacks,19,14.0,-100,1.1,0,4,4,2,A,Mongol Uls,14.5,17.0,15.5,16.25,13.25,13.25,13.0,11.0,8.75,(no tactic),0.0,12.5,20.0,1.4,0,3.0,5.0,2.0,H,CC,Mon,2024-06-24,4-4-2,3.0-5.0-2.0,CA,88,14.02610995692862
40,40,35.0,2024-06-21 12:00:00,Round 3 in Asia and Oceania Cup,12.0742603739879,11.549292531640601,11.549292531640601,Bahrain,13.60445646733748,9.25,22.25,21.25,22.5,11.5,11.0,11.0,10.75,7.5,Counter-attacks,19,15.0,-100,2.0,4,4,4,2,A,Brunei,16.0,11.0,11.0,9.0,19.25,19.5,12.0,10.25,8.5,Play creatively,23.0,14.75,100.0,3.1,1,2.0,5.0,3.0,H,CC,Bru,2024-06-21,4-4-2,2.0-5.0-3.0,CA,88,13.60445646733748
41,41,36.0,2024-06-17 12:00:00,Round 2 in Asia and Oceania Cup,14.627984105563955,18.477453607028156,12.318302404685436,Bahrain,14.77428346028912,11.0,14.75,16.5,15.0,14.25,18.0,12.0,10.75,8.5,(no tactic),0,15.75,-10,1.7,1,3,4,3,H,Hayastan,12.5,17.25,17.0,17.0,13.5,12.25,12.0,11.75,9.0,(no tactic),0.0,19.0,20.0,2.0,3,3.0,5.0,2.0,A,CC,Hay,2024-06-17,3-4-3,3.0-5.0-2.0,N,88,14.77428346028912
42,42,37.0,2024-06-14 12:00:00,Round 1 in Asia and Oceania Cup,12.655236150470154,11.895921981441946,11.642817258432542,Bahrain,14.722870743697024,8.25,21.25,20.5,21.0,12.5,11.75,11.5,10.75,7.25,Counter-attacks,19,14.5,-100,2.1,1,4,4,2,A,Việt Nam,10.75,12.25,13.75,15.5,10.5,14.75,15.75,11.0,9.25,(no tactic),0.0,14.0,0.0,1.7,2,2.0,5.0,3.0,H,CC,Việ,2024-06-14,4-4-2,2.0-5.0-3.0,CA,88,14.722870743697024
43,43,38.0,2024-06-07 20:00:00,Friendly match,,,,Bahrain,,6.75,11.75,13.25,14.25,12.75,12.25,11.75,8.75,6.5,(no tactic),0,7.0,0,0.9,2,3,5,2,A,Kazakhstan,7.75,21.25,17.25,16.75,13.25,9.75,13.5,9.5,6.75,Counter-attacks,14.0,8.25,0.0,2.3,2,4.0,4.0,2.0,H,F,Kaz,2024-06-07,3-5-2,4.0-4.0-2.0,N,88,
44,44,39.0,2024-05-31 20:00:00,Friendly match,,,,Bahrain,,7.5,19.25,18.75,13.5,12.5,9.0,10.75,11.0,7.5,(no tactic),0,15.75,-10,1.3,3,4,4,2,H,Magyarország,8.25,10.25,13.0,15.0,10.75,15.25,13.5,9.75,8.25,(no tactic),0.0,10.0,0.0,2.0,2,2.0,5.0,3.0,A,F,Mag,2024-05-31,4-4-2,2.0-5.0-3.0,N,88,
45,45,40.0,2024-05-24 20:00:00,Friendly match,,,,Bahrain,,9.5,14.75,17.75,18.5,13.0,11.25,11.5,10.25,6.75,(no tactic),0,16.0,40,1.2,2,3,5,2,A,United Arab Emirates,8.75,19.25,20.0,18.0,12.0,9.5,12.0,10.5,7.25,(no tactic),0.0,9.0,0.0,1.0,2,5.0,3.0,2.0,H,F,Uni,2024-05-24,3-5-2,5.0-3.0-2.0,N,86,
46,46,41.0,2024-05-17 20:00:00,Friendly match,,,,Bahrain,,7.25,13.25,10.5,14.75,11.25,11.0,9.75,9.75,7.5,(no tactic),0,12.25,0,0.3,0,2,5,3,A,Bulgaria,6.0,20.75,24.0,22.5,9.75,7.0,9.25,11.75,7.75,Pressing,15.0,12.75,-100.0,0.7,1,5.0,4.0,1.0,H,F,Bul,2024-05-17,2-5-3,5.0-4.0-1.0,N,86,
47,47,42.0,2024-05-10 20:00:00,Friendly match,,,,Bahrain,,10.5,18.25,17.25,17.75,11.25,11.75,12.5,10.25,6.5,(no tactic),0,13.0,0,2.5,2,3,5,2,A,Island,7.25,17.75,18.5,10.5,12.25,12.0,10.5,9.25,6.5,(no tactic),0.0,7.75,0.0,0.6,0,3.0,5.0,2.0,H,F,Isl,2024-05-10,3-5-2,3.0-5.0-2.0,N,86,
48,48,43.0,2024-05-03 20:00:00,Friendly match,,,,Bahrain,,10.25,16.75,16.25,17.0,13.0,13.0,13.0,10.0,7.0,Counter-attacks,14,11.5,0,2.2,2,3,5,2,H,Ecuador,10.0,14.0,16.25,13.0,7.25,13.0,10.75,10.75,8.25,Play creatively,22.0,12.75,60.0,1.4,0,4.0,4.0,2.0,A,F,Ecu,2024-05-03,3-5-2,4.0-4.0-2.0,CA,86,
49,49,44.0,2024-04-26 20:00:00,Friendly match,,,,Bahrain,,10.5,17.25,16.75,17.5,13.25,13.25,13.75,10.5,7.5,(no tactic),0,15.0,0,2.5,6,3,5,2,H,Lietuva,10.0,15.25,14.75,15.75,17.5,18.0,17.0,9.5,6.75,(no tactic),0.0,12.75,100.0,2.2,3,3.0,4.0,3.0,A,F,Lie,2024-04-26,3-5-2,3.0-4.0-3.0,N,86,
50,50,45.0,2024-04-19 20:00:00,Friendly match,,,,Bahrain,,9.75,13.75,15.25,16.0,9.75,17.0,15.75,10.0,7.75,(no tactic),0,13.25,0,1.8,2,3,4,3,H,Nippon,8.25,20.0,20.25,19.25,13.25,12.25,6.5,11.0,8.75,Counter-attacks,16.0,11.5,-50.0,1.5,1,4.0,4.0,2.0,A,F,Nip,2024-04-19,3-4-3,4.0-4.0-2.0,N,86,
51,51,46.0,2024-04-12 20:00:00,Friendly match,,,,Bahrain,,9.0,16.5,15.75,16.5,15.0,16.5,15.0,10.0,7.75,(no tactic),0,13.0,0,2.0,2,3,4,3,H,Guatemala,9.25,17.0,17.25,18.0,10.25,12.0,10.5,10.5,7.75,(no tactic),0.0,9.0,0.0,1.4,0,3.0,5.0,2.0,A,F,Gua,2024-04-12,3-4-3,3.0-5.0-2.0,N,86,
