,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C
74,2024-06-07 20:00:00+02:00,88,Friendly,,,,,Lietuva,10.5,16.5,15.0,16.5,17.25,17.5,16.75,8.25,10.0,Normal,0,0,3-4-3,3,4,3,1,0,13,UHEUEUQHEHQPQQ,00000000000None,H,LÃ«tzebuerg,6.0,16.5,17.0,18.25,7.25,8.0,7.25,5.75,9.75,Pressing,11,0,4-4-2,4,4,2,0,-5,8,ZUHEPUUQEUQUWE,,A,LÃ«t,2024-06-07,N,F,,343
75,2024-05-31 20:00:00+02:00,88,Friendly,,,,,Lietuva,9.5,22.0,23.0,21.5,12.75,12.0,12.75,8.25,11.25,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,12,ZHQEUUQHETQQEQ,,A,Israel,9.75,20.25,21.75,21.25,12.5,11.0,12.25,7.0,10.75,Pressing,11,0,4-4-2,4,4,2,0,-10,9,SUPEZHQHEUUQEP,00000000000None,H,Isr,2024-05-31,CA,F,,442ca
76,2024-05-24 20:00:00+02:00,86,Friendly,,,,,Lietuva,10.75,24.25,29.0,24.0,9.0,6.75,9.0,6.75,11.5,Normal,0,0,5-4-1,5,4,1,2,-10,12,ZQUUQHQHEHQEPE,03400030030None,H,Hanguk,10.75,14.75,14.0,11.0,17.25,18.75,13.0,7.0,9.75,Normal,0,0,2-5-3,2,5,3,1,10,12,UHEEZEZSZZQUQW,,A,Han,2024-05-24,N,F,,AoD
77,2024-05-17 20:00:00+02:00,86,Friendly,,,,,Lietuva,10.75,24.0,28.25,23.25,9.5,7.25,9.5,6.75,11.5,Normal,0,0,5-4-1,5,4,1,0,-10,11,ZQUUQHQHEHQEWE,,A,Prathet Thai,8.0,17.25,15.75,17.0,12.25,11.0,12.25,7.0,10.0,Normal,0,0,3-5-2,3,5,2,0,0,11,ZZEHEZQHHTHZEZ,02120420000None,H,Pra,2024-05-17,N,F,,AoD
78,2024-05-10 20:00:00+02:00,86,Friendly,,,,,Lietuva,10.0,22.5,26.0,21.0,9.0,7.0,8.75,6.5,11.25,Normal,0,0,5-4-1,5,4,1,1,-10,12,ZHUUQQQHEHQEWE,,A,LÃ«tzebuerg,9.25,14.5,15.0,16.5,14.5,13.5,14.25,8.25,9.25,Pressing,10,0,3-5-2,3,5,2,0,0,8,ZQEPEUQUQUUUEH,00000000000None,H,LÃ«t,2024-05-10,N,F,,AoD
79,2024-05-03 20:00:00+02:00,86,Friendly,,,,,Lietuva,6.0,25.25,24.25,26.0,15.25,6.25,14.75,6.0,10.5,Counter-attacks,23,0,5-3-2,5,3,2,1,-10,13,ZQUQHHQEpEQQEQ,00404002044None,H,Malaysia,11.0,11.25,16.75,10.75,10.5,14.25,11.0,7.5,9.5,Normal,0,0,2-5-3,2,5,3,1,0,11,ZETEQEQQpPTWHQ,,A,Mal,2024-05-03,CA,F,,hardca
80,2024-04-26 20:00:00+02:00,86,Friendly,,,,,Lietuva,10.0,15.25,14.75,15.75,17.5,18.0,17.0,6.75,9.5,Normal,0,0,3-4-3,3,4,3,3,10,12,ZQEQEHQHETQWUQ,,A,Bahrain,10.5,17.25,16.75,17.5,13.25,13.25,13.75,7.5,10.5,Normal,0,0,3-5-2,3,5,2,6,0,15,ZQEUEQUUTHUPEQ,00000000000None,H,Bah,2024-04-26,N,F,,343
81,2024-04-19 20:00:00+02:00,86,Friendly,,,,,Lietuva,11.0,22.25,23.75,21.25,9.75,8.0,9.5,6.75,10.75,Normal,0,0,4-5-1,4,5,1,1,-10,12,ZQHEUHQHTHQPEE,03400300030None,H,South Africa,9.0,15.75,18.5,14.0,9.5,8.0,11.0,6.25,9.25,Normal,0,0,5-4-1,5,4,1,0,0,11,ZTUPUQQHHEUWEE,,A,Sou,2024-04-19,N,F,,AoD
82,2024-04-12 20:00:00+02:00,86,Friendly,,,,,Lietuva,8.75,15.5,14.25,15.5,16.0,16.75,15.75,7.75,9.5,Normal,0,0,3-4-3,3,4,3,4,10,12,ZHEUEHQHETQWQU,,A,Zambia,7.5,17.5,19.25,18.0,7.0,6.0,7.0,7.25,9.25,Play creatively,17,0,4-5-1,4,5,1,0,-10,7,ZQPETZUUpUHETE,02002002002,H,Zam,2024-04-12,N,F,,343
83,2024-04-05 20:00:00+02:00,86,World Cup,12.523,14.1027,14.3591,13.8463,Lietuva,17.75,14.25,14.0,14.75,13.75,14.0,13.5,7.5,11.25,Play creatively,23,0,3-5-2,3,5,2,1,10,13,ZHEUEUUHHHQEWU,,A,Suomi,8.25,25.5,28.0,25.25,13.25,10.25,12.0,10.25,14.0,Counter-attacks,25,0,5-3-2,5,3,2,1,-10,14,ZQZUHHHEEHHQEU,02400202000None,H,Suo,2024-04-05,PC,WC2,12.522971618702236,AoA
84,2024-03-29 20:00:00+01:00,86,World Cup,7.8292,14.4426,6.7233,14.6916,Lietuva,8.0,23.5,27.0,23.5,14.5,6.75,14.75,7.75,11.75,Counter-attacks,23,0,5-3-2,5,3,2,0,-10,15,ZHUHHUQEpEQQEU,,A,Sverige,18.25,16.0,15.75,16.75,14.0,13.75,14.25,8.75,11.5,Normal,0,0,3-5-2,3,5,2,2,10,14,UZEQEUUHUHUUEP,00103010300None,H,Sve,2024-03-29,CA,WC2,7.829202580637967,hardca
