,Match Datetime,Match Type,Team name,scaled midfield,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Defender_number,Mid_number,Forward_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Defender_number_,Mid_number_,Forward_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,scaled_midfield
20,2023-08-18 20:00:00,Match 5 in round II of World Cup,Slovensko,17.97767197444338,18.75,14.0,16.5,13.0,13.75,17.0,12.0,13.0,10.5,(no tactic),0,16.75,0,2.0,3,5,2,A,RomÃ¢nia,17.25,16.0,14.75,16.75,15.5,19.0,17.75,11.75,10.0,(no tactic),0,14.0,40,2.5,3,4,3,H,WC2,Rom,2023-08-18,3-5-2,3-4-3,N,17.97767197444338
21,2023-08-14 20:00:00,Match 4 in round II of World Cup,Slovensko,12.918397030485927,13.75,12.5,9.5,13.0,19.25,22.5,19.25,12.75,11.5,Play creatively,25,18.5,100,2.9,2,5,3,H,Prateh Kampuchea,10.75,21.75,23.25,22.0,17.0,6.75,10.5,11.75,8.0,Pressing,11,15.75,-100,1.0,4,5,1,A,WC2,Pra,2023-08-14,2-5-3,4-5-1,PC,12.918397030485927
22,2023-08-11 20:00:00,Match 3 in round II of World Cup,Slovensko,9.499479247054875,8.0,24.5,26.0,25.5,14.25,11.5,14.0,13.75,10.0,Counter-attacks,24,18.0,-100,1.7,5,3,2,A,Prateh Kampuchea,15.5,14.75,13.25,15.25,16.0,16.75,16.0,10.75,9.0,(no tactic),0,15.0,100,2.0,2,5,3,H,WC2,Pra,2023-08-11,5-3-2,2-5-3,CA,9.499479247054875
23,2023-08-07 20:00:00,Match 2 in round II of World Cup,Slovensko,14.477109467702311,13.5,17.75,15.75,13.5,16.25,18.0,13.5,12.75,10.75,(no tactic),0,18.0,0,2.2,3,5,2,H,RomÃ¢nia,12.5,18.0,16.75,17.25,16.0,17.25,13.75,12.25,10.0,(no tactic),0,15.0,0,2.1,3,5,2,A,WC2,Rom,2023-08-07,3-5-2,3-5-2,N,14.477109467702311
24,2023-08-04 20:00:00,Match 1 in round II of World Cup,Slovensko,14.078394585280098,12.0,16.5,14.5,12.0,17.75,19.0,14.75,12.75,10.75,(no tactic),0,17.5,60,1.2,3,5,2,H,Costa Rica,8.75,23.0,26.0,22.75,5.5,5.75,14.5,12.75,7.25,Pressing,12,15.75,-100,0.3,4,5,1,A,WC2,Cos,2023-08-04,3-5-2,4-5-1,N,14.078394585280098
25,2023-07-28 20:00:00,Match 10 in round I of World Cup,Slovensko,8.747284634412463,8.5,21.25,23.75,22.5,11.5,12.0,17.25,13.25,9.5,Counter-attacks,19,16.0,-60,1.1,4,4,2,H,Ireland,13.25,23.0,21.75,21.0,11.5,7.75,10.0,12.0,8.0,(no tactic),0,17.0,-100,0.8,4,5,1,A,WC1,Ire,2023-07-28,4-4-2,4-5-1,CA,8.747284634412463
26,2023-07-21 20:00:00,Match 9 in round I of World Cup,Slovensko,13.609832879066165,13.5,12.5,15.5,17.25,15.0,20.25,18.75,13.0,11.0,(no tactic),0,16.5,0,2.3,3,5,2,A,Comoros,14.75,15.0,16.5,14.5,9.5,18.0,16.25,10.25,7.25,(no tactic),0,12.5,100,2.1,3,4,3,H,WC1,Com,2023-07-21,3-5-2,3-4-3,N,13.609832879066165
27,2023-07-14 20:00:00,Match 8 in round I of World Cup,Slovensko,12.56729201487794,13.0,14.0,12.25,14.25,19.75,20.0,18.25,13.0,10.75,Play creatively,27,16.75,100,2.7,2,5,3,H,Ecuador,6.75,28.25,30.75,28.25,12.5,4.5,6.75,12.25,7.0,Counter-attacks,24,16.0,-100,0.8,5,4,1,A,WC1,Ecu,2023-07-14,2-5-3,5-4-1,PC,12.56729201487794
28,2023-07-07 20:00:00,Match 7 in round I of World Cup,Slovensko,11.597409634875326,10.0,19.75,21.25,19.5,17.75,16.5,15.25,13.5,10.25,Counter-attacks,19,16.5,0,1.8,4,4,2,A,Nippon,11.25,22.75,19.5,23.75,9.25,9.75,9.25,12.25,10.0,(no tactic),0,16.5,-100,0.8,4,5,1,H,WC1,Nip,2023-07-07,4-4-2,4-5-1,CA,11.597409634875326
29,2023-06-30 20:00:00,Match 6 in round I of World Cup,Slovensko,12.117931480890018,12.5,17.0,15.75,16.5,20.25,21.25,19.5,13.0,11.0,(no tactic),0,16.75,60,1.7,3,4,3,H,Bahrain,11.25,21.5,23.75,23.5,4.75,7.0,8.5,12.25,8.5,Pressing,14,17.5,-100,0.4,4,5,1,A,WC1,Bah,2023-06-30,3-4-3,4-5-1,N,12.117931480890018
30,2023-06-23 20:00:00,Match 5 in round I of World Cup,Slovensko,15.219750199041636,13.0,24.0,28.0,24.5,12.75,7.5,9.25,13.75,9.75,Pressing,11,16.25,-100,1.0,4,5,1,A,Ireland,11.0,19.0,18.5,20.5,18.5,14.0,17.25,10.75,7.0,Counter-attacks,18,15.25,0,0.8,4,4,2,H,WC1,Ire,2023-06-23,4-5-1,4-4-2,Pr,15.219750199041636
31,2023-06-16 20:00:00,Match 4 in round I of World Cup,Slovensko,13.158143344923728,13.25,14.0,10.25,13.75,21.5,25.25,21.0,12.75,11.75,(no tactic),0,16.5,100,2.1,2,5,3,H,Comoros,7.0,26.0,29.75,25.5,6.5,8.5,6.75,11.5,6.5,Pressing,12,11.75,-100,0.3,5,3,2,A,WC1,Com,2023-06-16,2-5-3,5-3-2,N,13.158143344923728
32,2023-06-09 20:00:00,Match 3 in round I of World Cup,Slovensko,16.436500031183993,13.25,21.25,22.75,21.75,11.5,11.5,11.25,13.75,10.5,Play creatively,26,16.75,-100,1.7,3,5,2,A,Ecuador,8.0,25.75,25.5,26.0,6.0,8.5,18.25,11.75,8.25,Counter-attacks,25,15.25,-100,1.0,5,3,2,H,WC1,Ecu,2023-06-09,3-5-2,5-3-2,PC,16.436500031183993
33,2023-06-05 20:00:00,Match 2 in round I of World Cup,Slovensko,13.455076283818732,12.0,18.0,15.75,13.5,18.5,20.5,15.5,13.0,11.25,(no tactic),0,16.0,0,2.9,3,4,3,H,Nippon,11.75,18.5,20.0,14.0,12.0,13.5,9.75,12.5,10.75,Play creatively,25,16.5,0,2.5,3,5,2,A,WC1,Nip,2023-06-05,3-4-3,3-5-2,N,13.455076283818732
34,2023-06-02 20:00:00,Match 1 in round I of World Cup,Slovensko,11.436166451315183,7.75,25.25,27.5,24.75,10.5,8.5,15.5,14.0,9.5,Counter-attacks,19,15.75,-60,1.3,4,4,2,A,Bahrain,9.75,17.5,19.0,19.0,5.5,9.0,14.5,12.0,8.5,Pressing,14,17.25,-10,0.5,4,5,1,H,WC1,Bah,2023-06-02,4-4-2,4-5-1,CA,11.436166451315183
35,2023-05-26 20:00:00,Friendly match,Slovensko,,11.75,22.25,24.25,22.0,11.75,10.25,11.75,13.75,10.25,(no tactic),0,16.0,0,4.1,4,5,1,H,MagyarorszÃ¡g,6.25,14.0,13.25,13.25,8.25,13.75,12.5,9.75,8.5,(no tactic),0,8.5,0,0.2,3,4,3,A,F,Mag,2023-05-26,4-5-1,3-4-3,N,
36,2023-05-19 20:00:00,Quarterfinals in Europe Cup,Slovensko,16.031920400729984,15.75,16.0,12.75,8.75,19.5,21.75,14.75,12.25,10.5,(no tactic),0,14.75,100,2.9,2,5,3,N,Hellas,5.75,26.5,27.25,25.75,11.75,11.75,16.0,12.0,8.25,Counter-attacks,22,13.5,-100,1.7,5,3,2,A,CCQF,Hel,2023-05-19,2-5-3,5-3-2,N,16.031920400729984
37,2023-05-12 20:00:00,Round 10 in Europe Cup,Slovensko,9.164859763158272,9.25,26.75,29.25,25.25,14.25,11.75,7.5,14.25,10.25,Counter-attacks,24,15.5,-100,1.7,5,3,2,H,Lietuva,15.5,14.25,13.75,11.25,18.0,18.75,12.75,11.0,8.25,(no tactic),0,13.25,100,1.3,2,5,3,A,CC,Lie,2023-05-12,5-3-2,2-5-3,CA,9.164859763158272
38,2023-05-05 20:00:00,Round 9 in Europe Cup,Slovensko,16.05124974106641,13.0,18.0,15.5,12.5,19.5,19.0,16.25,13.0,11.25,(no tactic),0,16.25,0,0.8,3,5,2,A,Srbija,5.75,26.5,34.0,26.25,10.0,10.0,9.75,13.0,8.25,Pressing,17,13.5,-100,0.3,5,3,2,H,CC,Srb,2023-05-05,3-5-2,5-3-2,N,16.05124974106641
39,2023-04-28 20:00:00,Round 8 in Europe Cup,Slovensko,16.200215015186544,19.25,15.0,17.5,8.0,14.25,18.0,12.25,12.75,10.0,Attack in the Middle,26,15.75,100,3.8,2,5,3,H,Italia,17.25,12.75,13.0,14.5,15.0,19.5,17.0,10.75,9.25,(no tactic),0,13.75,100,2.8,3,5,2,A,CC,Ita,2023-04-28,2-5-3,3-5-2,AIM,16.200215015186544
40,2023-04-21 20:00:00,Round 7 in Europe Cup,Slovensko,15.690704843954153,13.5,19.5,19.5,19.0,13.5,13.5,14.0,13.25,10.25,(no tactic),0,15.25,40,2.6,3,5,2,A,Severna Makedonija,10.75,18.0,15.25,19.25,7.5,12.0,18.25,11.75,10.0,Attack on wings,26,14.25,-100,0.9,3,4,3,H,CC,Sev,2023-04-21,3-5-2,3-4-3,N,15.690704843954153
41,2023-04-14 20:00:00,Round 6 in Europe Cup,Slovensko,8.544408829588575,8.75,28.0,30.25,26.25,10.25,5.75,15.0,14.75,9.5,Counter-attacks,23,12.25,-100,0.8,5,3,2,H,RomÃ¢nia,17.5,16.75,17.5,17.25,13.75,17.25,15.5,11.5,9.75,(no tactic),0,12.5,0,1.2,3,5,2,A,CC,Rom,2023-04-14,5-3-2,3-5-2,CA,8.544408829588575
42,2023-04-07 20:00:00,Round 5 in Europe Cup,Slovensko,12.501388135887359,10.5,24.5,25.5,22.75,10.0,10.25,14.75,13.75,10.0,Counter-attacks,18,12.25,-100,1.3,4,4,2,A,Lietuva,15.0,11.75,14.25,13.75,13.75,20.25,19.5,11.0,8.5,(no tactic),0,14.5,100,1.6,2,5,3,H,CC,Lie,2023-04-07,4-4-2,2-5-3,CA,12.501388135887359
43,2023-04-03 20:00:00,Round 4 in Europe Cup,Slovensko,13.735285407584215,16.5,15.0,13.75,12.0,19.75,21.0,16.25,12.75,11.0,(no tactic),0,12.75,100,1.4,3,4,3,H,Srbija,9.75,25.5,28.25,26.25,7.75,5.5,17.0,12.75,8.25,Pressing,16,12.75,-100,0.4,4,5,1,A,CC,Srb,2023-04-03,3-4-3,4-5-1,N,13.735285407584215
44,2023-03-31 20:00:00,Round 3 in Europe Cup,Slovensko,15.196009462792748,12.25,23.25,28.0,22.5,9.5,7.5,8.75,14.0,9.25,Pressing,11,12.5,-100,0.5,5,4,1,A,Italia,15.0,17.5,16.0,17.25,14.25,16.0,14.5,11.25,9.5,(no tactic),0,13.75,0,1.2,3,5,2,H,CC,Ita,2023-03-31,5-4-1,3-5-2,Pr,15.196009462792748
45,2023-03-27 20:00:00,Round 2 in Europe Cup,Slovensko,12.053505837587617,10.75,19.5,18.25,18.5,16.5,17.75,16.5,12.75,10.75,(no tactic),0,13.0,0,1.3,3,4,3,H,Severna Makedonija,13.25,17.5,17.75,19.5,9.5,11.75,10.75,12.0,9.75,Pressing,12,13.25,-50,1.1,3,5,2,A,CC,Sev,2023-03-27,3-4-3,3-5-2,N,12.053505837587617
46,2023-03-24 20:00:00,Round 1 in Europe Cup,Slovensko,12.173983641722616,8.25,22.0,25.25,22.5,14.75,9.5,13.5,13.75,9.75,Counter-attacks,19,12.25,-40,1.6,4,4,2,A,RomÃ¢nia,11.5,17.0,16.5,16.25,16.0,17.0,14.25,11.75,10.0,(no tactic),0,15.0,20,1.9,3,5,2,H,CC,Rom,2023-03-24,4-4-2,3-5-2,CA,12.173983641722616
47,2023-03-17 20:00:00,Friendly match,Slovensko,,9.25,19.25,20.25,18.0,11.5,11.25,11.0,12.25,9.25,(no tactic),0,14.5,0,6.4,3,4,3,H,ÄŒeskÃ¡ republika,5.75,7.5,11.0,6.0,8.0,4.75,4.75,8.75,7.5,Play creatively,20,9.75,0,0.3,5,3,2,A,F,ÄŒes,2023-03-17,3-4-3,5-3-2,N,
48,2023-03-10 20:00:00,Friendly match,Slovensko,,11.5,13.0,16.75,14.75,7.0,12.0,14.25,12.5,8.75,(no tactic),0,14.0,0,2.5,2,5,3,A,Latvija,8.5,13.25,14.0,14.5,12.25,12.25,13.0,9.75,8.0,Play creatively,22,10.75,0,1.6,3,4,3,H,F,Lat,2023-03-10,2-5-3,3-4-3,N,
