,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
30,2025-02-28 20:00:00,90,Europe Cup,19.0038,14.4143,15.1865,13.8995,Schweiz,17.5,16.75,17.5,17.25,14.0,14.75,13.5,9.75,12.0,Normal,0,0,3-5-2,3,5,2,1,0,11,ZQEHEQUUHHHEUP,3000300,H,Eesti,11.5,21.75,24.5,22.0,13.5,11.75,12.75,8.25,12.0,Counter-attacks,19,0,4-4-2,4,4,2,0,-10,15,ZHHEHUQHEQQWQE,0,A,Ees,2025-02-28,N,CC,19.00375425308589,bal,NN-N-NMNNNM-NN
31,2025-02-21 20:00:00,90,Europe Cup,10.7925,15.0903,7.2849,15.0903,Schweiz,7.0,24.75,26.75,23.75,14.5,7.0,14.5,8.25,12.25,Counter-attacks,23,0,5-3-2,5,3,2,2,-10,11,ZQUHUQQEpEQHEU,404312144,A,Slovenija,15.75,16.5,16.0,16.25,16.25,18.5,16.5,9.5,11.75,Normal,0,0,3-4-3,3,4,3,2,4,13,ZHEQEHQUEPQPQH,3003000,H,Slo,2025-02-21,CA,CC,10.79253237200919,hardca,NNWNWMO-D-OW-W
32,2025-02-14 20:00:00,90,Europe Cup,17.5355,13.7116,14.4734,13.4577,Schweiz,13.75,18.25,17.75,17.75,13.5,14.25,13.25,9.5,12.0,Play creatively,21,0,3-5-2,3,5,2,0,-7,11,ZQEHEQQHHHQPQE,0,H,Hrvatska,9.75,24.0,26.5,24.25,12.0,11.75,12.0,9.5,12.75,Counter-attacks,18,0,4-4-2,4,4,2,2,-10,15,UQHEUHQHEUQEQU,1000,A,Hrv,2025-02-14,PC,CC,17.535458279026873,PC,NN-N-NNNNNNNN-
33,2025-02-07 20:00:00,90,Europe Cup,18.5804,14.0509,14.5619,13.2845,Schweiz,16.5,17.5,17.0,18.0,13.75,14.25,13.0,9.75,12.25,Normal,0,0,3-5-2,3,5,2,1,-3,11,ZQEHEQQUHUQWHE,103000300,A,Malta,17.25,16.75,16.5,15.75,15.75,14.75,12.75,9.25,11.75,Normal,0,0,3-5-2,3,5,2,1,0,14,ZQEQEUQUQHHHQE,3400300,H,Mal,2025-02-07,N,CC,18.58043491245923,bal,NN-O-NMNNNMNN-
34,2025-02-03 20:00:00,90,Europe Cup,16.8608,17.7051,21.2975,15.6524,Schweiz,18.25,15.25,11.75,10.75,17.25,20.75,15.25,9.5,11.25,Normal,0,0,2-5-3,2,5,3,2,10,11,ZQEEEQQHUUQUPH,30003000,H,Island,8.75,25.25,27.5,23.5,16.75,6.25,8.5,8.0,11.75,Counter-attacks,23,0,5-3-2,5,3,2,2,-10,14,ZHHQUPHQEEUHEU,200004144,A,Isl,2025-02-03,N,CC,16.860801606032172,AoA,NN---NMNNNMNNN
35,2025-01-31 20:00:00,90,Europe Cup,8.4889,17.5152,7.2121,15.7122,Schweiz,6.5,24.0,25.5,24.75,17.0,7.0,15.25,8.75,12.5,Counter-attacks,23,0,5-3-2,5,3,2,2,-10,13,ZQUHUQQHEEQUEH,3404014144,A,Eesti,16.5,17.0,15.25,16.0,16.25,19.0,16.25,8.75,11.25,Normal,0,0,3-4-3,3,4,3,2,0,15,ZUEHEHQHQEQUQP,103003000,H,Ees,2025-01-31,CA,CC,8.488903590289743,hardca,NMWNWNOW--OW-W
36,2025-01-27 20:00:00,90,Europe Cup,13.4355,15.2866,15.2866,15.5457,Schweiz,12.5,17.75,17.75,18.25,14.75,14.75,15.0,9.5,12.0,Normal,0,0,3-5-2,3,5,2,1,2,11,ZQEHEQHHUHQPEQ,0,H,Slovenija,9.0,23.25,23.75,21.5,13.5,12.75,13.0,9.25,12.25,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,13,ZHQEUQUHQEQEQW,3400001000,A,Slo,2025-01-27,N,CC,13.435527085808094,bal,NN-N-NNNNNNN-N
37,2025-01-24 20:00:00,90,Europe Cup,12.1392,14.0,12.75,13.25,Schweiz,8.5,22.0,23.75,21.5,14.0,12.75,13.25,8.75,12.25,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,11,ZQHEUQQUUEQHQE,1000,A,Hrvatska,11.25,19.25,19.0,19.0,14.75,14.5,14.5,9.25,12.25,Normal,0,0,3-5-2,3,5,2,2,0,16,UQEUEHQHUHQPEU,0,H,Hrv,2025-01-24,CA,CC,12.139154258487196,442ca,NNN-NNNNO-NNN-
38,2025-01-17 20:00:00,90,Friendly,,,,,Schweiz,3.75,20.75,23.25,23.25,10.75,9.25,11.5,6.75,10.25,Counter-attacks,18,0,5-3-2,5,3,2,0,-10,8,ZQUUUTQEpEQQQE,4002000,A,Malaysia,6.5,13.75,16.75,9.25,10.75,13.0,6.5,6.75,9.5,Normal,0,0,3-4-3,3,4,3,1,0,9,ZEUUUEZQQQEPTT,0,H,Mal,2025-01-17,CA,F,,hardca,NNNNWNN-D-NNN-
39,2025-01-10 20:00:00,90,Friendly,,,,,Schweiz,9.5,11.75,8.5,5.75,20.5,19.75,10.75,8.5,9.25,Play creatively,23,0,2-5-3,2,5,3,1,10,9,ZUUEEEHUHHTWTU,1111113020,A,Ghana,7.25,25.75,24.5,26.5,12.5,5.75,11.75,7.5,11.75,Counter-attacks,21,0,5-4-1,5,4,1,3,-10,12,ZTUUUUTUEHQUEE,404014400,H,Gha,2025-01-10,PC,F,,AoA,NOO---OOOOMNDN
