,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Defender number,Midfielder number,Forward number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Defender number_,Midfielder number_,Forward number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
30,2023-12-01 23:30:00,Round 7 in America Cup,Argentina,15.11306770986463,14.542731242654787,18.005286300429734,11.3110131887315,16.0,16.5,15.0,12.5,15.75,19.5,12.25,11.5,9.75,(no tactic),0,17.0,100,3.2,7,2.0,5.0,3.0,,,,H,Perú,15.5,9.5,17.0,18.5,11.5,13.25,15.0,12.0,9.75,(no tactic),0,16.5,40,2.4,1,3.0,5.0,2.0,,,,A,CC,Per,2023-12-01,2.0-5.0-3.0,3.0-5.0-2.0,N,86,15.11306770986463
31,2023-11-24 23:30:00,Round 6 in America Cup,Argentina,13.48094009386019,12.254774963109746,13.642107977801416,12.948441470455581,12.0,22.5,24.25,21.75,13.25,14.75,14.0,12.25,9.0,Counter-attacks,18,16.25,-100,0.6,1,4.0,4.0,2.0,,,,A,Trinidad & Tobago,12.25,25.0,25.75,25.5,5.0,7.75,9.25,12.25,7.75,Pressing,15,11.75,-100,0.3,0,5.0,4.0,1.0,,,,H,CC,Tri,2023-11-24,4.0-4.0-2.0,5.0-4.0-1.0,CA,86,13.48094009386019
32,2023-11-17 23:30:00,Round 5 in America Cup,Argentina,13.551842297605356,18.43012908697402,21.738100974379613,17.957561674487508,14.75,15.0,11.0,14.75,19.5,23.0,19.0,11.75,10.25,(no tactic),0,15.5,100,2.1,4,2.0,5.0,3.0,,,,H,Honduras,10.5,23.0,26.75,23.0,5.5,5.5,15.0,11.75,7.0,Pressing,13,15.75,-100,0.4,1,4.0,5.0,1.0,,,,A,CC,Hon,2023-11-17,2.0-5.0-3.0,4.0-5.0-1.0,N,86,13.551842297605356
33,2023-11-13 23:30:00,Round 4 in America Cup,Argentina,16.934229502778624,16.629431259656567,20.104237791525104,12.906424261225993,15.0,15.5,14.75,11.75,16.75,20.25,13.0,11.5,9.5,(no tactic),0,18.0,100,1.4,4,2.0,5.0,3.0,,,,A,Cuba,11.75,23.5,24.0,23.25,15.5,5.25,4.25,13.0,9.0,Pressing,15,20.25,-100,0.6,0,4.0,5.0,1.0,,,,H,CC,Cub,2023-11-13,2.0-5.0-3.0,4.0-5.0-1.0,N,86,16.934229502778624
34,2023-11-10 23:30:00,Round 3 in America Cup,Argentina,15.019129704272673,13.448475469673314,19.914088676247026,20.43133773277292,14.75,11.0,13.75,15.25,13.0,19.25,19.75,11.25,9.25,(no tactic),0,17.5,100,2.4,3,2.0,5.0,3.0,,,,H,Curaçao,8.25,23.75,26.0,25.25,7.25,12.25,13.5,11.0,7.25,Counter-attacks,22,14.0,-100,1.0,0,5.0,3.0,2.0,,,,A,CC,Cur,2023-11-10,2.0-5.0-3.0,5.0-3.0-2.0,N,86,15.019129704272673
35,2023-11-06 23:30:00,Round 2 in America Cup,Argentina,12.568059107992328,13.871242309847146,12.300912991751243,17.011900946038953,9.5,23.0,25.0,23.0,13.25,11.75,16.25,12.25,8.5,Counter-attacks,18,18.25,-100,2.1,3,4.0,4.0,2.0,,,,A,Perú,13.0,13.0,14.0,12.25,16.75,21.0,17.0,11.5,10.25,(no tactic),0,17.25,100,1.9,2,2.0,5.0,3.0,,,,H,CC,Per,2023-11-06,4.0-4.0-2.0,2.0-5.0-3.0,CA,86,12.568059107992328
36,2023-11-03 23:30:00,Round 1 in America Cup,Argentina,14.535142445991148,20.414281135246743,21.199445794294693,14.13296386286313,12.0,14.25,13.0,10.5,19.5,20.25,13.5,10.75,8.75,(no tactic),0,17.0,100,1.4,0,2.0,5.0,3.0,,,,H,Trinidad & Tobago,10.25,22.0,26.25,22.0,7.75,7.5,8.25,13.0,9.0,Pressing,14,13.5,-100,0.4,0,4.0,5.0,1.0,,,,A,CC,Tri,2023-11-03,2.0-5.0-3.0,4.0-5.0-1.0,N,86,14.535142445991148
37,2023-10-27 20:00:00,Friendly match,Argentina,,,,,8.5,6.0,8.0,6.0,12.5,15.5,18.0,6.75,6.5,Play creatively,21,10.25,100,5.5,5,2.0,5.0,3.0,,,,H,Deutschland,8.5,3.5,3.5,4.5,18.25,16.5,16.25,7.0,8.5,Play creatively,23,12.0,100,6.1,4,2.0,5.0,3.0,,,,A,F,Deu,2023-10-27,2.0-5.0-3.0,2.0-5.0-3.0,PC,86,
38,2023-10-20 20:00:00,Friendly match,Argentina,,,,,4.25,21.75,23.5,22.0,14.5,13.25,14.25,11.5,8.25,Counter-attacks,17,13.25,-100,1.1,2,4.0,4.0,2.0,,,,H,España,4.5,20.5,22.25,20.5,10.25,6.0,12.75,11.5,8.75,Counter-attacks,13,12.5,-100,0.8,1,4.0,5.0,1.0,,,,A,F,Esp,2023-10-20,4.0-4.0-2.0,4.0-5.0-1.0,CA,86,
39,2023-10-13 20:00:00,Final in World Cup,Argentina,12.401925253019293,21.3146319910732,21.53212823588007,19.357165787811375,17.75,13.75,11.0,13.75,24.5,24.75,22.25,11.25,9.75,(no tactic),0,22.5,100,4.1,4,2.0,5.0,3.0,,,,H,Moçambique,6.75,25.25,22.5,25.0,15.25,8.75,20.75,14.0,10.5,Counter-attacks,23,25.5,-100,1.3,1,5.0,3.0,2.0,,,,A,WCF,Moç,2023-10-13,2.0-5.0-3.0,5.0-3.0-2.0,N,84,12.401925253019293
40,2023-10-09 20:00:00,Semi-finals in World Cup,Argentina,17.523095190761335,14.589948486982479,15.695247614784183,14.81100831254282,15.75,17.75,17.25,18.0,16.5,17.75,16.75,11.75,8.75,(no tactic),0,16.25,0,2.6,3,3.0,5.0,2.0,,,,N,Suomi,18.25,14.0,14.25,16.0,15.75,19.75,17.0,12.75,10.5,(no tactic),0,14.5,50,3.2,1,3.0,5.0,2.0,,,,A,WCSF,Suo,2023-10-09,3.0-5.0-2.0,3.0-5.0-2.0,N,84,17.523095190761335
41,2023-10-06 20:00:00,Match 3 in round V of World Cup,Argentina,11.749785486173778,18.977188404577596,21.914134229095556,19.42902622373421,12.75,11.75,9.75,12.5,21.0,24.25,21.5,11.25,9.25,(no tactic),0,16.0,100,3.3,3,2.0,5.0,3.0,,,,N,Uganda,4.0,25.25,26.5,24.0,6.75,5.0,11.0,11.75,7.5,Counter-attacks,20,13.0,-100,0.4,1,5.0,4.0,1.0,,,,H,WC5,Uga,2023-10-06,2.0-5.0-3.0,5.0-4.0-1.0,N,84,11.749785486173778
42,2023-10-02 20:00:00,Match 2 in round V of World Cup,Argentina,18.86295490204019,13.346629124405737,20.13305071308662,20.13305071308662,17.5,12.25,15.25,14.75,14.75,22.25,22.25,11.0,9.25,(no tactic),0,17.75,50,2.9,3,2.0,5.0,3.0,,,,N,España,10.0,23.75,25.0,23.25,15.0,12.75,12.75,13.25,10.25,Counter-attacks,20,19.75,-100,1.9,2,4.0,4.0,2.0,,,,A,WC5,Esp,2023-10-02,2.0-5.0-3.0,4.0-4.0-2.0,N,84,18.86295490204019
43,2023-09-29 20:00:00,Match 1 in round V of World Cup,Argentina,17.17468298933837,13.818682774324863,21.18864692063146,17.964287606622324,15.25,11.5,14.5,15.0,15.0,23.0,19.5,11.25,9.0,(no tactic),0,16.5,50,2.2,1,2.0,5.0,3.0,,,,N,Brasil,7.25,26.75,25.5,26.5,15.75,7.0,15.75,13.5,9.5,Counter-attacks,25,13.5,-100,1.5,0,5.0,3.0,2.0,,,,A,WC5,Bra,2023-09-29,2.0-5.0-3.0,5.0-3.0-2.0,N,84,17.17468298933837
44,2023-09-22 20:00:00,Match 3 in round IV of World Cup,Argentina,10.513538600214792,13.146020978705616,11.53159734974177,13.146020978705616,9.5,23.25,26.75,23.5,14.25,12.5,14.25,12.0,7.75,Counter-attacks,23,15.0,-100,1.7,1,5.0,3.0,2.0,,,,N,Uganda,6.5,20.5,19.0,21.25,16.0,8.5,17.5,12.0,9.0,Counter-attacks,17,15.0,0,0.6,0,4.0,4.0,2.0,,,,H,WC4,Uga,2023-09-22,5.0-3.0-2.0,4.0-4.0-2.0,CA,84,10.513538600214792
45,2023-09-18 20:00:00,Match 2 in round IV of World Cup,Argentina,15.916663782336526,20.892468413871562,18.971321893055784,13.448025645710429,14.0,15.5,14.0,11.25,21.75,19.75,14.0,10.75,8.25,(no tactic),0,16.5,100,2.3,3,2.0,5.0,3.0,,,,N,United Arab Emirates,6.75,25.5,27.5,25.5,4.75,4.25,13.75,12.75,7.75,Counter-attacks,20,21.0,-100,0.6,0,5.0,4.0,1.0,,,,A,WC4,Uni,2023-09-18,2.0-5.0-3.0,5.0-4.0-1.0,N,84,15.916663782336526
