,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Central attack,Central defence,Left attack,Left defence,Right attack,Right defence,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,HomeOrAway,Team name_,Midfield_,Central attack_,Central defence_,Left attack_,Left defence_,Right attack_,Right defence_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,HomeOrAway_,Opponent,Match Date,Tactic short,Match Type,scaled_midfield
31,2024-09-27 20:00:00+02:00,88,World Cup,14.832842767902456,12.454107070070176,14.651890670670797,12.209908892225664,England,13.5,15.0,18.5,12.5,19.75,12.75,19.0,10.0,11.75,Normal,0,0,3-5-2,3,5,2,3,-5,13,UUEHEHQHTUQPEU,H,Hrvatska,9.75,13.25,23.5,14.25,21.75,12.75,22.25,7.75,11.75,Counter-attacks,21,0,4-4-2,4,4,2,1,-10,16,ZHTEHPQUEQUUQE,A,Hrv,2024-09-27,N,WC1,14.832842767902456
32,2024-09-20 20:00:00+02:00,88,World Cup,16.34951535976854,13.510491029419077,14.51126814270938,14.010879586064227,England,15.75,14.5,18.0,14.0,18.25,13.5,18.5,8.25,11.0,Normal,0,0,3-5-2,3,5,2,1,-2,13,UHEHEQTTUHQWEU,A,Saint Vincent and the Grenadines,8.75,11.75,24.5,18.0,24.0,5.25,24.0,9.0,11.75,Counter-attacks,22,0,5-3-2,5,3,2,0,-10,14,ZQUUPQEEHQQEPH,H,Sai,2024-09-20,N,WC1,16.34951535976854
33,2024-09-13 20:00:00+02:00,88,World Cup,12.12591957636087,16.38713046130864,4.9873875317026295,7.59982861973734,England,9.75,5.25,25.5,8.0,26.5,17.25,27.5,9.0,13.25,Counter-attacks,24,0,5-4-1,5,4,1,1,-10,14,UHUTTQQTTEQQEE,A,Brasil,14.5,16.5,17.25,14.75,17.5,13.0,16.5,9.25,11.25,Normal,0,0,3-5-2,3,5,2,5,0,12,UTEUEHQHHHQUQE,H,Bra,2024-09-13,CA,WC1,12.12591957636087
34,2024-09-06 20:00:00+02:00,88,World Cup,15.501946847221543,12.785698476531449,14.015092560813317,12.785698476531449,England,14.75,14.25,19.0,13.0,19.25,13.0,19.25,8.75,11.5,Normal,0,0,3-5-2,3,5,2,6,0,13,ZHEHEQQUTUQEQQ,H,San Marino,13.25,18.75,13.0,12.0,8.25,12.0,8.25,7.0,9.0,Attack in the middle,22,0,2-5-3,2,5,3,2,10,14,ZEUEUEQQUQUUWH,A,San,2024-09-06,N,WC1,15.501946847221543
35,2024-08-30 20:00:00+02:00,88,World Cup,11.7394440280412,16.42803819042253,4.1070095476056325,7.972430298293288,England,9.0,4.25,26.25,8.25,27.0,17.0,27.0,9.0,13.25,Counter-attacks,22,0,5-4-1,5,4,1,0,-10,13,ZQHHUQQQHEQQEE,A,Guam,14.75,15.0,16.25,14.0,17.0,14.25,17.25,9.0,12.0,Normal,0,0,3-5-2,3,5,2,1,0,20,UHEUEUHUHQQQQE,H,Gua,2024-08-30,CA,WC1,11.7394440280412
36,2024-08-26 20:00:00+02:00,88,World Cup,13.2102561048243,11.299534874166941,12.005755803802375,11.299534874166941,England,9.25,12.75,24.5,12.0,22.0,12.0,22.5,9.75,12.25,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,13,ZQUETHTUETQEQH,A,Hrvatska,12.75,14.75,17.5,14.0,17.0,14.0,17.0,8.25,11.25,Normal,0,0,3-5-2,3,5,2,1,0,14,ZQEHEQTTQHQEPU,H,Hrv,2024-08-26,CA,WC1,13.2102561048243
37,2024-08-23 20:00:00+02:00,88,World Cup,15.511427591389028,11.297563087356272,17.624198416275785,17.398247154528658,England,11.75,19.5,14.25,19.25,14.75,12.5,11.75,9.0,11.0,Normal,0,0,2-5-3,2,5,3,1,6,13,ZEHEEHQHUUQQQH,H,Saint Vincent and the Grenadines,8.5,10.0,26.75,7.25,23.5,10.25,23.5,8.75,11.75,Counter-attacks,19,0,4-4-2,4,4,2,3,-10,14,ZQUEUQQHZEHWQE,A,Sai,2024-08-23,N,WC1,15.511427591389028
38,2024-08-16 20:00:00+02:00,88,Wildcard,15.654539417368163,11.870773696446001,12.820435592161681,12.34560464430384,England,15.75,13.5,19.5,13.0,19.5,12.5,19.0,9.75,12.5,Normal,0,0,3-5-2,3,5,2,5,-5,12,ZUEHEHQUPUHPEQ,H,Misr,16.0,19.25,13.0,13.25,8.0,12.75,8.25,8.5,10.5,Attack in the middle,23,0,2-5-3,2,5,3,0,10,14,ZEZEZETUUQUUWH,A,Mis,2024-08-16,N,W,15.654539417368163
39,2024-08-12 20:00:00+02:00,88,Wildcard,12.954761574901841,10.896395469187517,11.138537590725017,12.833532441487518,England,9.75,11.5,25.25,13.25,24.75,11.25,24.5,9.25,12.75,Counter-attacks,20,0,4-4-2,4,4,2,1,-10,13,ZHPEUQQHEUQEQU,A,Misr,8.25,12.25,23.75,12.0,21.0,12.25,21.75,8.25,11.75,Counter-attacks,17,0,4-4-2,4,4,2,0,-10,14,ZUUETQUUEUTHEP,H,Mis,2024-08-12,CA,W,12.954761574901841
40,2024-08-09 20:00:00+02:00,88,Friendly,,,,,England,6.75,15.25,19.75,13.5,20.5,13.5,21.0,10.5,11.75,Counter-attacks,13,0,3-4-3,3,4,3,3,-10,9,ZPEPEHUPEUTQQH,H,Rom̢nia,8.75,19.25,15.25,14.75,16.5,15.25,16.25,9.25,11.25,Normal,0,0,3-5-2,3,5,2,4,2,11,ZPEHEUQHUUTEHW,A,Rom,2024-08-09,CA,F,
