,Match Datetime,Match Type,Team name,scaled midfield,sc_ra,sc_ca,sc_la,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP defence,ISP attack,Tactic,Tactic skill,Total exp,Style of play,Average goals,Actual goals,Defender_number,Mid_number,Forward_number,Midfielder_number,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP defence_,ISP attack_,Tactic_,Tactic skill_,Total exp_,Style of play_,Average goals_,Actual goals_,Defender_number_,Mid_number_,Forward_number_,Midfielder_number_,HomeOrAway_,MT,Opponent,Match Date,Formation,Formation_,Tactic short,campaign,scaled_midfield
31,2023-12-08 12:00:00,Round 8 in Asia and Oceania Cup,Viá»‡t Nam,13.522276606483885,15.32999116851827,16.122921746200248,14.27275039827563,16.25,16.0,16.75,17.0,14.5,15.25,13.5,12.25,9.5,(no tactic),0,16.75,50,3.4,1,3,5.0,2,,A,Al Iraq,14.75,10.25,14.5,14.0,10.0,15.75,12.0,10.75,9.25,Attack in the Middle,25,14.75,100,2.3,5,2,5.0,3,,H,CC,Al ,2023-12-08,3-5.0-2,2-5.0-3,N,86,13.522276606483885
32,2023-12-01 12:00:00,Round 7 in Asia and Oceania Cup,Viá»‡t Nam,10.895978283396905,12.205039685735649,10.577701060970895,11.933816581608191,10.0,23.0,25.5,21.5,11.25,9.75,11.0,12.5,9.25,Counter-attacks,18,16.0,-100,0.9,3,4,4.0,2,,A,Nippon,14.75,15.75,16.75,15.75,10.5,21.25,20.25,11.0,10.25,(no tactic),0,16.5,0,2.2,1,3,4.0,3,,H,CC,Nip,2023-12-01,4-4.0-2,3-4.0-3,CA,86,10.895978283396905
33,2023-11-24 12:00:00,Round 6 in Asia and Oceania Cup,Viá»‡t Nam,10.899182006775963,17.646168417359114,18.43629536141997,17.11941712131854,11.75,16.5,15.75,16.25,16.75,17.5,16.25,11.75,9.75,(no tactic),0,14.0,50,1.4,0,3,5.0,2,,H,Hayastan,15.25,17.75,17.5,17.75,13.5,13.25,13.25,11.25,9.0,(no tactic),0,16.25,0,2.2,2,3,5.0,2,,A,CC,Hay,2023-11-24,3-5.0-2,3-5.0-2,N,86,10.899182006775963
34,2023-11-17 12:00:00,Round 5 in Asia and Oceania Cup,Viá»‡t Nam,12.832516115103603,12.338782942731923,13.43556364875254,12.338782942731923,17.0,19.25,19.0,17.25,11.25,12.25,11.25,12.25,9.75,(no tactic),0,13.5,50,1.6,3,3,5.0,2,,H,Dhivehi Raajje,10.0,20.0,20.5,22.0,13.0,12.0,14.25,11.5,8.5,Counter-attacks,18,16.5,-100,1.2,0,4,4.0,2,,A,CC,Dhi,2023-11-17,3-5.0-2,4-4.0-2,N,86,12.832516115103603
35,2023-11-13 12:00:00,Round 4 in Asia and Oceania Cup,Viá»‡t Nam,12.793599578096964,16.623650351810177,17.713725784715763,16.078612635357384,12.0,15.75,14.5,15.0,15.25,16.25,14.75,11.75,10.0,(no tactic),0,13.5,100,1.9,1,3,5.0,2,,A,Dawlat Qatar,13.0,16.25,17.25,17.5,15.5,10.5,9.75,10.75,8.25,(no tactic),0,13.75,-50,1.7,2,3,5.0,2,,H,CC,Daw,2023-11-13,3-5.0-2,3-5.0-2,N,86,12.793599578096964
36,2023-11-10 12:00:00,Round 3 in Asia and Oceania Cup,Viá»‡t Nam,10.577493282350728,17.529795924537048,19.447117353783288,17.803698985857938,11.0,14.75,14.0,15.5,16.0,17.75,16.25,11.0,10.0,(no tactic),0,12.25,100,1.6,0,3,4.0,3,,H,Al Iraq,6.75,22.5,25.75,23.0,10.0,10.75,11.5,12.5,9.0,Counter-attacks,24,18.75,-100,1.2,0,5,3.0,2,,A,CC,Al ,2023-11-10,3-4.0-3,5-3.0-2,N,86,10.577493282350728
37,2023-11-06 12:00:00,Round 2 in Asia and Oceania Cup,Viá»‡t Nam,11.723148117670874,15.942132682302981,15.671927043619881,16.212338320986085,11.25,16.5,16.0,17.0,14.75,14.5,15.0,12.25,10.0,(no tactic),0,14.0,50,1.6,0,3,5.0,2,,H,Nippon,11.5,18.25,20.75,19.5,12.5,11.5,7.0,11.5,9.0,(no tactic),0,17.5,-50,1.2,1,3,5.0,2,,A,CC,Nip,2023-11-06,3-5.0-2,3-5.0-2,N,86,11.723148117670874
38,2023-11-03 12:00:00,Round 1 in Asia and Oceania Cup,Viá»‡t Nam,8.91412938426779,13.676113897964399,12.361102946237052,13.939116088309868,6.5,21.25,24.0,20.75,13.0,11.75,13.25,12.75,9.5,Counter-attacks,23,13.0,-30,2.1,1,5,3.0,2,,A,Hayastan,10.25,12.75,11.5,12.75,11.0,19.75,17.0,10.5,9.0,(no tactic),0,15.75,100,2.0,3,2,5.0,3,,H,CC,Hay,2023-11-03,5-3.0-2,2-5.0-3,CA,86,8.91412938426779
39,2023-10-27 20:00:00,Friendly match,Viá»‡t Nam,,,,,6.75,17.5,19.0,18.0,9.75,12.0,11.0,11.25,10.5,(no tactic),0,9.5,0,1.9,2,4,4.0,2,,A,Lubnan,8.0,13.5,13.5,13.25,9.5,9.25,11.25,9.25,8.0,(no tactic),0,7.25,0,0.8,0,3,5.0,2,,H,F,Lub,2023-10-27,4-4.0-2,3-5.0-2,N,86,
40,2023-10-20 20:00:00,Friendly match,Viá»‡t Nam,,,,,9.5,17.75,21.25,20.5,11.5,11.25,11.5,11.75,9.0,(no tactic),0,9.5,0,3.6,3,4,4.0,2,,A,CuraÃ§ao,7.75,11.25,10.5,10.0,9.75,14.75,12.25,9.0,7.25,Attack in the Middle,19,8.75,0,0.9,0,2,5.0,3,,H,F,Cur,2023-10-20,4-4.0-2,2-5.0-3,N,86,
41,2023-10-13 20:00:00,Friendly match,Viá»‡t Nam,,,,,9.25,16.5,19.75,19.0,11.5,12.0,14.0,11.5,9.25,(no tactic),0,9.5,0,1.6,2,4,4.0,2,,H,Costa Rica,9.0,17.75,21.0,18.0,7.75,5.75,13.25,10.5,6.0,Play creatively,20,10.25,-30,0.9,0,4,5.0,1,,A,F,Cos,2023-10-13,4-4.0-2,4-5.0-1,N,84,
42,2023-10-06 20:00:00,Friendly match,Viá»‡t Nam,,,,,9.25,19.25,19.5,17.5,12.75,11.75,11.25,11.5,10.0,(no tactic),0,9.0,0,2.7,2,4,4.0,2,,H,Turkiye,6.75,15.75,14.5,15.0,9.5,14.75,10.0,8.75,7.0,(no tactic),0,9.75,0,0.5,0,3,5.0,2,,A,F,Tur,2023-10-06,4-4.0-2,3-5.0-2,N,84,
43,2023-09-29 20:00:00,Friendly match,Viá»‡t Nam,,,,,9.0,15.5,19.0,18.5,11.0,12.0,11.75,11.25,10.0,(no tactic),0,9.25,0,1.8,0,4,4.0,2,,A,Ozbekiston,9.75,14.75,15.25,15.75,11.75,15.75,15.0,9.75,7.5,(no tactic),0,14.5,-40,1.7,0,3,4.0,3,,H,F,Ozb,2023-09-29,4-4.0-2,3-4.0-3,N,84,
44,2023-09-22 20:00:00,Friendly match,Viá»‡t Nam,,,,,9.25,17.0,19.75,18.25,13.0,13.25,12.25,11.0,8.5,(no tactic),0,9.25,0,4.3,1,4,4.0,2,,H,Uruguay,8.0,11.25,9.75,10.5,10.25,9.0,9.0,8.75,7.75,Counter-attacks,10,10.25,100,0.4,0,3,4.0,3,,A,F,Uru,2023-09-22,4-4.0-2,3-4.0-3,N,84,
45,2023-09-15 20:00:00,Friendly match,Viá»‡t Nam,,,,,9.25,17.75,20.0,18.5,9.5,11.75,12.75,11.0,8.25,(no tactic),0,9.25,0,1.3,1,4,4.0,2,,H,Singapore,12.25,15.5,14.0,15.0,16.5,16.75,12.75,11.25,9.25,(no tactic),0,22.0,0,2.6,4,2,5.0,3,,A,F,Sin,2023-09-15,4-4.0-2,2-5.0-3,N,84,
